"song_id","song_name","song_lyrics_url","annotation_count","artist_id","artist_name","artist_url"
5111653,"Fuck Your Culture","https://genius.com/Uicideboy-fuck-your-culture-lyrics",7,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
1080125,"Gabapentin Getaway","https://genius.com/Uicideboy-gabapentin-getaway-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
1081425,"Gaudy Pack $hawty (Ft. Yung God)","https://genius.com/Uicideboy-gaudy-pack-shawty-lyrics",1,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
8238944,"Genesis","https://genius.com/Uicideboy-genesis-lyrics",10,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3232475,"Gloom","https://genius.com/Uicideboy-gloom-lyrics",8,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
1787161,"Gloss of Blood","https://genius.com/Uicideboy-gloss-of-blood-lyrics",7,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
598193,"Gold (’99-2000)","https://genius.com/Uicideboy-gold-99-2000-lyrics",2,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2417281,"Golden Calf (Ft. Eddy Baker & Fat Nick)","https://genius.com/Uicideboy-golden-calf-lyrics",6,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3232556,"Goodbye","https://genius.com/Uicideboy-goodbye-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2798202,"Goosebumps","https://genius.com/Uicideboy-goosebumps-lyrics",13,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2919363,"Gray/Grey (Bonus Album Only Track)","https://genius.com/Uicideboy-gray-grey-bonus-album-only-track-lyrics",2,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2385155,"Grayscale (Ft. Black Smurf, JGRXXN & Ramirez)","https://genius.com/Uicideboy-grayscale-lyrics",6,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
648674,"Grey Boy$","https://genius.com/Uicideboy-grey-boy-lyrics",6,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2376246,"Gutting Catfish","https://genius.com/Uicideboy-gutting-catfish-lyrics",9,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
675531,"Hair","https://genius.com/Uicideboy-hair-lyrics",6,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
1787177,"Handzum $uicide (Ft. Rozz Dyliams)","https://genius.com/Uicideboy-handzum-suicide-lyrics",8,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3101959,"Hard to Tell","https://genius.com/Uicideboy-hard-to-tell-lyrics",10,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
675522,"Harve$t Moon","https://genius.com/Uicideboy-harve-t-moon-lyrics",9,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
